DATE,START_HOUR,W_ERRORS,W_N,W_AVG,W_MED,W_MIN,W_MAX,W_RANGE,W_STDEV,B_HOUR,B_24CHANGE,
07/13/2011,13,,3580,0.00889832,0.009,0.000,0.239,0.239,0.00785652,
07/17/2012,15,,3580,0.0464196,0.035,0.002,0.169,0.167,0.0413043,
07/17/2012,14,,3580,0.00947542,0.008,0.002,0.210,0.208,0.0068137,
07/17/2012,14,,3580,0.0127073,0.007,0.000,3.26,3.26,0.0709776,
07/17/2012,16,,1488,0.00712567,0.002,0.000,0.026,0.026,0.00765105,
07/18/2011,13,,3580,0.00839078,0.007,0.002,0.057,0.055,0.00408753,
07/18/2011,15,,3,0.00633333,0.006,0.006,0.007,0.001,0.000471405,
07/18/2011,13,,3540,0.0041113,0.004,0.001,0.055,0.054,0.00252435,
07/18/2012,14,,3580,0.00993547,0.01,0.001,0.152,0.151,0.00552754,
07/18/2012,14,,3580,0.0130131,0.012,0.005,0.104,0.099,0.00674968,
07/18/2012,14,,3580,0.0350598,0.024,0.000,0.171,0.171,0.0363375,
07/19/2012,14,,3580,0.0400296,0.025,0.004,0.199,0.195,0.0411649,
07/19/2012,14,,3580,0.0106623,0.01,0.002,0.062,0.06,0.0038458,
07/19/2012,14,,3580,0.0147349,0.013,0.003,0.532,0.529,0.0193133,
07/20/2011,15,,3056,0.0179319,0.016,0.012,0.483,0.471,0.0177107,
07/20/2011,13,,3580,0.0207511,0.02,0.000,0.082,0.082,0.0062435,
07/20/2011,13,,3580,0.0174955,0.016,0.010,0.310,0.3,0.00853388,
07/21/2011,14,,3002,0.0142408,0.014,0.010,0.038,0.028,0.00251026,
07/21/2011,14,,3432,0.0106396,0.01,0.007,0.034,0.027,0.00189429,
07/23/2012,15,,3580,0.0444779,0.032,0.013,0.194,0.181,0.0291827,
07/23/2012,14,,3580,0.0230844,0.025,0.009,0.666,0.657,0.0149551,
07/23/2012,14,,3580,0.0225989,0.022,0.009,0.365,0.356,0.011483,
07/25/2011,13,,2855,0.00864413,0.008,0.006,0.235,0.229,0.00627475,
07/26/2011,11,,3580,0.00491955,0.004,0.000,0.112,0.112,0.00374833,
08/02/2011,10,,2751,0.0143599,0.014,0.006,0.037,0.031,0.00251291,
08/02/2011,10,,3580,0.0120321,0.012,0.006,0.061,0.055,0.00419301,
08/04/2011,24,,2613,0.00477535,0.004,0.002,0.107,0.105,0.00329986,
08/04/2011,11,,3561,0.0117666,0.003,0.000,0.781,0.781,0.0418762,
08/21/2012,16,,3580,0.0238927,0.022,0.014,0.150,0.136,0.00739872,
08/21/2012,16,,2822,0.0254213,0.025,0.017,0.069,0.052,0.00497855,
